Symbol,Name,Asset Type,Total Score (%),Current Ratio (Value),Current Ratio (Strength %),Short Ratio (Value),Short Ratio (Strength %),Debt to Equity (Value),Debt to Equity (Strength %),Dividend Yield (Value),Dividend Yield (Strength %),EBITDA Margin (Value),EBITDA Margin (Strength %),EV/EBITDA (Value),EV/EBITDA (Strength %),Forward P/E Ratio (Value),Forward P/E Ratio (Strength %),Insider Ownership (Value),Insider Ownership (Strength %),Institutional Ownership (Value),Institutional Ownership (Strength %),Trailing P/E Ratio (Value),Trailing P/E Ratio (Strength %),PEG Ratio (Value),PEG Ratio (Strength %),Price to Book (Value),Price to Book (Strength %),Profit Margin (Value),Profit Margin (Strength %),Analyst Recommendation (Value),Analyst Recommendation (Strength %),Return on Equity (Value),Return on Equity (Strength %),Revenue Growth (Value),Revenue Growth (Strength %),Short % of Float (Value),Short % of Float (Strength %)
A,A,STOCK,71.85,2.07x,96,2.33x,90,51.39x,100,0.88%,13,27.90%,98,17.48x,43,17.40x,86,0.19%,33,87.13%,97,25.28x,48,1.21x,70,4.69x,8,18.26%,73,Buy (1.67),84,19.95%,95,7.00%,64,1.80%,95
AAPL,Apple Inc.,STOCK,68.99,1.07x,17,3.24x,80,79.55x,89,0.38%,8,35.44%,87,25.80x,76,29.81x,73,1.64%,41,65.25%,82,35.46x,77,2.44x,1,46.71x,20,27.15%,100,Buy (1.88),77,141.47%,100,16.60%,97,0.92%,97
ABBV,AbbVie Inc.,STOCK,73.36,N/A,N/A,3.06x,82,N/A,N/A,3.27%,71,47.76%,100,14.56x,81,12.78x,94,0.12%,33,76.52%,93,100.78x,0,0.50x,95,-111.68x,100,5.79%,23,Buy (1.75),81,N/A,N/A,12.40%,90,1.37%,96
ABNB,"Airbnb, Inc.",STOCK,61.97,1.38x,47,4.21x,62,27.70x,93,N/A,N/A,21.03%,58,29.30x,1,24.57x,57,1.37%,40,87.95%,98,35.15x,39,1.32x,59,10.40x,0,20.51%,82,Buy (2.21),64,30.23%,100,12.00%,89,3.48%,91
ABT,Abbott Laboratories,STOCK,68.71,1.39x,49,1.71x,94,64.77x,97,2.78%,58,26.02%,97,15.81x,67,14.75x,91,0.55%,35,72.19%,90,25.06x,50,1.35x,56,2.98x,51,13.90%,56,Buy (1.68),83,12.33%,48,7.80%,70,1.40%,96
ACGL,Arch Capital Group Ltd.,STOCK,75.21,0.54x,1,3.38x,78,11.28x,81,N/A,N/A,29.82%,95,5.58x,99,9.34x,97,2.59%,46,95.45%,99,7.22x,99,1.05x,84,1.44x,87,24.64%,99,Buy (2.25),62,21.31%,100,-3.30%,8,2.12%,95
ACN,Accenture plc,STOCK,75.85,1.34x,42,2.39x,89,25.47x,92,3.65%,79,17.66%,9,8.71x,98,12.06x,99,0.08%,33,83.18%,96,14.73x,99,1.38x,53,3.54x,98,10.61%,42,Buy (1.86),78,24.76%,99,8.30%,73,3.27%,91
ADBE,Adobe Inc.,STOCK,86.16,0.91x,8,2.67x,87,58.34x,99,N/A,N/A,38.92%,94,10.62x,98,9.50x,99,0.25%,34,87.70%,98,14.62x,99,0.70x,100,8.90x,96,29.48%,100,Buy (2.46),52,58.77%,100,12.00%,89,4.07%,88
ADI,"Analog Devices, Inc.",STOCK,69.10,1.76x,85,3.04x,82,25.75x,92,1.01%,15,46.43%,99,36.83x,33,30.25x,72,0.25%,34,93.07%,99,72.70x,1,1.00x,88,5.75x,97,23.02%,92,Buy (1.57),86,7.86%,14,30.40%,100,2.28%,94
ADM,Archer-Daniels-Midland Company,STOCK,41.99,1.36x,46,3.27x,79,42.38x,99,2.79%,58,3.14%,0,17.80x,6,15.41x,90,0.66%,36,81.63%,96,33.61x,0,0.96x,91,1.58x,89,1.34%,5,Hold (3.18),21,4.72%,5,-13.70%,0,3.70%,90
